endTime,artistName,trackName,msPlayed
2023-11-14 12:39,Klaus Veen,Euforische Ludes,63877
2023-11-14 12:41,Rooler,DOMINATION - SEFA REMIX,126015
2023-11-14 12:43,Vieze Asbak,Ameno,147204
2023-11-14 12:44,HCTM,Kids Are High,70800
2023-11-14 12:45,SWORRA,POLIAKOV,70635
2023-11-14 12:47,Tic-Tekk-Toe,Om Namaha Shiva,80905
2023-11-14 12:50,Vieze Asbak,SPIJKERBOM,9119
2023-11-14 12:50,Klaus Veen,Shake It,184513
2023-11-14 12:53,Vieze Asbak,SPIJKERBOM,21434
2023-11-14 12:55,Dutch Hour,Scintilla - NeuroBeatz Remix,82004
2023-11-14 12:58,Natte Visstick,IK TRIP 'M,187091
2023-11-14 13:00,Rooler,FCK DAT!,167378
2023-11-14 13:06,Acidus,Bounce Back,324000
2023-11-14 13:08,Vieze Asbak,Stevige Punt,122750
2023-11-14 13:10,Malok,DCLX,144642
2023-11-14 13:13,Rebelion,Side Fx's,186273
2023-11-14 13:17,Klaus Veen,Olie Druipt Eraf,199391
2023-11-14 13:19,JKRS,It's a Fine Day - Sped Up,126480
2023-11-14 13:21,Vieze Asbak,Jelly Fish Jam - Beuk Mix,149254
2023-11-14 13:22,NeuroBeatz,LWLNDS - Dutch Hour Remix,68870
2023-11-14 13:25,Malok,PUMP IT UP,141046
2023-11-14 13:27,Kevin D'Angello,Space Train,146080
2023-11-14 13:27,Klaus Veen,Ga Naar De Gym,5913
2023-11-14 13:28,Vieze Asbak,Luchtalarm - Bonus Beat,78847
2023-11-14 13:31,JKRS,Maneater,154285
2023-11-14 13:33,Rebelion,Alternative Rush,96203
2023-11-14 13:34,Mark With a K,Oasis - The Dark Horror Remix,104712
2023-11-14 13:38,Fred again..,Delilah (pull me out of this),250702
2023-11-14 13:42,Fred again..,Yasminah (see your face again),184714
2023-11-14 13:45,Romy,Strong,234053
2023-11-14 13:48,Fred again..,Marco (and everyone),149309
2023-11-14 13:51,Fred again..,Chika (scared),168245
2023-11-14 13:56,Fred again..,Cmon,320533
2023-11-14 14:00,Fred again..,I Saw You,265961
2023-11-14 14:05,Fred again..,Faisal (envelops me),250291
2023-11-14 14:08,Fred again..,Eyelar (shutters),210125
2023-11-14 14:14,Fred again..,Clara (the night is dark),278400
2023-11-14 14:16,Fred again..,Jungle - Rico Nasty Remix,136647
2023-11-14 14:20,Fred again..,Sabrina (i am a party),199062
2023-11-14 14:23,Fred again..,Jungle,198805
2023-11-14 14:27,Fred again..,Dermot (see yourself in my eyes),228858
2023-11-14 14:32,Swedish House Mafia,Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,253432
2023-11-14 14:35,Fred again..,Tate (how i feel),222250
2023-11-14 14:41,Fred again..,Baby again..,319963
2023-11-14 14:42,Fred again..,Tayla (every night),65500
2023-11-14 14:45,Fred again..,Safety,163887
2023-11-14 14:48,Skrillex,Rumble,146571
2023-11-14 14:51,Fred again..,Kyle (i found you),196071
2023-11-14 14:55,Fred again..,Baxter (these are my friends),244034
2023-11-14 15:00,Fred again..,Marea (we’ve lost dancing),285375
2023-11-14 15:05,Fred again..,Secret,304111
2023-11-14 15:27,Fred again..,adore u,136418
2023-11-14 19:26,Fred again..,adore u,22630
2023-11-14 19:27,Daniel Allan,I Just Need (with Lyrah),5106
2023-11-14 19:29,Daniel Allan,I Just Need (with Lyrah),146165
2023-11-14 19:31,Rankka,You Better Run,116567
2023-11-14 19:33,beans.,nanana (it goes like),106009
2023-11-14 19:33,Altijd Larstig & Rob Gasd'rop,Eleonora,6884
2023-11-14 19:35,Iván Reich,Caracol,158396
2023-11-14 19:38,Soda,M5,161453
2023-11-14 19:41,Kordhell,Murder In My Mind,145000
2023-11-14 19:43,DVRST,Close Eyes,132346
2023-11-14 19:46,Lex Digital,Doom,226666
2023-11-14 19:50,Twoxi,Mari,223298
2023-11-14 19:54,Rompasso,Sax,242326
2023-11-14 19:57,TRFN,U Do,195057
2023-11-14 19:58,Moses,We Are Venom,22132
2023-11-16 07:22,Moses,We Are Venom,158686
2023-11-16 07:24,Ne Skazhu,Meet Her at the Car Parade,112655
2023-11-16 07:38,ShockOne,Follow Me - Mashd N Kutcher Remix,242658
2023-11-16 08:42,ShockOne,Follow Me - Mashd N Kutcher Remix,42145
2023-11-16 08:49,H! Dude,Sexual Destruction,383396
2023-11-16 08:52,Dwin,Cityyyyyy Lifeee,183370
2023-11-16 09:05,Rompasso,Angetenar - Subkills Remix,175367
2023-11-16 10:36,Aftershock,Source Of Fire (Hardshift Anthem 2023),246209
2023-11-16 10:41,Unresolved,Addicted,175207
2023-11-16 10:45,Ran-D,Dance With The Devil - Kick Edit,161115
2023-11-16 11:07,Vazooka,Kick & Roll,143787
2023-11-16 12:58,Vazooka,Kick & Roll,85275
2023-11-16 13:00,Vasto,Demise 2.0,145679
2023-11-16 13:03,E-Force,History,188552
2023-11-16 13:06,The Purge,WINTER BLUES,196290
2023-11-16 13:09,Warface,X (A DECADE),169500
2023-11-16 13:19,Mutilator,Can You Feel It?!,129753
2023-11-16 13:22,The Purge,High On Life,178500
2023-11-16 13:24,Rebelion,DAS IST KEIN TECHNO,165003
2023-11-16 13:28,Rejecta,Dragon Boat,224245
2023-11-16 13:32,Act of Rage,Like My Shit,231000
2023-11-16 13:35,Devin Wild,Follow Me,196645
2023-11-16 13:37,Luminite,#FearTheGear - Aversion Edit,87604
2023-11-16 13:40,Warface,Drilla Killa,171000
2023-11-16 13:43,Dual Damage,Love Death,192000
2023-11-16 13:48,Hard Driver,Enter the Void (Qlimax 2023 Anthem),327651
2023-11-16 13:50,DEEZL,WHITE_NOISE,135000
2023-11-16 13:53,Physika,Stronger,178113
2023-11-16 13:57,Spitfire,Get Down,208515
2023-11-16 14:00,Devin Wild,BLACK HOLE,177000
2023-11-16 14:03,Cryex,Rock The Place,205824
2023-11-16 14:06,D-Sturb,Momentum,169147
2023-11-16 14:10,JNXD,Dynamite,222206
2023-11-16 14:12,NINE2NINE,DROPPIN' IT,156000
2023-11-16 14:13,Sub Zero Project,We Ignite,20850
