End Time,Artist Name,Track Name,Milliseconds Played
2024-04-16 04:57,Bob Marley & The Wailers,Redemption Song,233560
2024-04-16 05:08,Bob Marley & The Wailers,Stir It Up - Jamaican Version,67358
2024-04-16 06:47,Bob Marley & The Wailers,Stir It Up - Jamaican Version,150486
2024-04-16 06:51,Bob Marley & The Wailers,Buffalo Soldier,255840
2024-04-16 06:54,Bob Marley & The Wailers,Real Situation,188313
2024-04-16 06:58,Bob Marley & The Wailers,One Drop,231773
2024-04-16 07:03,ArniTheSavage,Es eskaliert,527
2024-04-16 07:03,Bob Marley & The Wailers,Who The Cap Fit,258248
2024-04-16 07:05,Jaxomy,Pedro,144846
2024-04-16 07:08,Noise Cartel,Exhibition Only (Feat Life Of Pappa),195096
2024-04-16 07:12,Farfaders,Scottish Party,210857
2024-04-16 07:15,Element,Go Harder,163410
2024-04-16 07:19,BLNK,Noize,224000
2024-04-16 07:24,Sizem,Rubber Duck,266378
2024-04-16 07:26,Sonny Wern,"Dance For Me (1, 2, 3) - Stutter Techno",147895
2024-04-16 07:30,Dark Syndicate,Escape from Reality,261897
2024-04-16 07:33,ROMAN SCHREIER,Erika,152566
2024-04-16 07:35,Redkick,Enculade.gouv,154996
2024-04-16 07:46,Luzzifer,Wir Sind Auf Kristel Und Haben Ne Macke,36484
2024-04-16 12:41,Luzzifer,Wir Sind Auf Kristel Und Haben Ne Macke,475096
2024-04-16 12:44,Panic,Early Rave Addict,210666
2024-04-16 12:47,Teksa,WD40,161394
2024-04-16 12:51,Tiny Tot,Discoland - DJ Isaac Remix,242552
2024-04-16 12:52,B2A,Tattoo (Hardstyle) - Radio Edit,36260
2024-04-16 12:56,SaphireLeFleur,MIDNIGHT SUNLIGHT (Acid Mental Remix),59560
2024-04-16 17:12,Dustin Hertz,Ketamine,17257
2024-04-16 17:12,Mr. Bassmeister,Down Under,13961
2024-04-16 17:12,SaphireLeFleur,MIDNIGHT SUNLIGHT (Acid Mental Remix),5966
2024-04-16 17:13,Don Woezik,I Like It Harder,6211
2024-04-16 17:13,Luca Testa,Kernkraft 400 - Hardstyle Remix,51534
2024-04-16 17:13,Turbulence,6 Million Ways To Die - Remastered,10456
2024-04-16 17:14,Loudar,The Same,19571
2024-04-16 17:14,Cryogenic,Bass Slut,3197
2024-04-16 17:14,D-Ceptor,Exposing Corruption,12620
2024-04-16 17:14,Dressgo,She,15546
2024-04-16 17:14,G-Town Madness,Silence,9818
2024-04-16 17:15,Bob Marley & The Wailers,Natural Mystic,609
2024-04-16 17:15,Noisekick,BIG BAD WOLF,5632
2024-04-16 17:15,Venom Hardtek,Party Don't Stop,50210
2024-04-16 17:15,Pash,She Is a Fucking Techno Girl,4527
2024-04-16 17:16,Vieze Asbak,Lekkere Boterham,1339
2024-04-16 17:17,Vieze Asbak,Lekkere Boterham,120433
2024-04-16 17:20,Vieze Asbak,Pump This Party,145840
2024-04-16 17:22,Vieze Asbak,Friesenjung (Sped Up),125796
2024-04-16 17:24,Mr. Polska,POLSKA JUMPSTYLE,140258
2024-04-16 17:26,Vieze Asbak,SPIJKERBOM,80291
2024-04-16 17:29,alt-J,Left Hand Free,173630
2024-04-16 17:33,Manu Chao,Me Gustas Tu,195679
2024-04-16 18:18,KYTES,Apricosa,5346
2024-04-16 18:18,Manu Chao,Me Gustas Tu,44325
2024-04-16 18:22,Milky Chance,Flashed Junk Mind,262000
2024-04-16 18:25,Bob Marley & The Wailers,Three Little Birds,180266
2024-04-16 18:28,Zoufris Maracas,J'aime pas travailler,192040
2024-04-16 18:31,Passion Coco,Pedacito de Tela,167500
2024-04-16 18:33,Ryan Mack,Overwhelmed (Ryan Mack Remix),103240
2024-04-16 18:36,Milky Chance,Synchronize,164576
2024-04-16 18:49,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,88655
2024-04-17 04:24,Gym Class Heroes,Cupid's Chokehold / Breakfast in America,155165
2024-04-17 04:28,Calypso Rose,Abatina,224630
2024-04-17 04:31,Milky Chance,Synchronize,164576
2024-04-17 04:33,Malugi,Reach Out,138000
2024-04-17 04:36,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),195546
